,GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,Y,Y Success,Y Runtime,GridSize,Sparsity
0,Unknown,60,60,5,0,0,3125,0,42.8,81,24,23.2,23.6,0.05888889,1,72.5081,214,214,647,1,1,1,0,1,36.919,214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4.9438,214,214,647,1,1,1,0,1,4.9309,214,214,647,1,1,1,0,1,7.1343,214,214,647,1,1,1,0,ICTS 3E +ID Runtime,1,4.9309,3600,0.001388889
1,Unknown,60,60,5,0,1,3125,0,49,87,19,29.86667,27.86667,0.06888889,1,5.598,245,245,740,1,1,1,0,1,0.4984,245,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.2784,245,245,740,1,1,1,0,1,5.5959,245,245,740,1,1,1,0,1,5.6067,245,245,740,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.4984,3600,0.001388889
2,Unknown,60,60,5,0,2,3125,0,40.2,82,16,21.46667,35.6,0.05638889,1,5.1259,201,201,580,1,1,1,0,1,0.2153,201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.1364,201,201,580,1,1,1,0,1,4.9662,201,201,580,1,1,1,0,1,6.2897,201,201,580,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.2153,3600,0.001388889
3,Unknown,60,60,10,0,0,9765625,0,33.5,74,3,35.96363,38.16364,0.09222222,1,8.7544,335,335,988,1,1,1,0,1,136.0601,335,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,150,238,0,0,52,0,0,59,135,35,150,1,0,1,0,1,10.0322,335,335,988,1,1,1,0,1,9.4974,335,335,988,1,1,1,0,1,9.0874,335,335,988,1,1,1,0,A*+OD+ID Runtime,1,8.7544,3600,0.002777778
4,Unknown,60,60,10,0,1,9765625,0,44.4,84,21,31.81818,37.34546,0.1233333,1,16.0635,444,444,1319,1,1,1,0,1,2.3478,444,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,152,294,0,0,0,0,0,1,150,54,152,2,0,1,0,1,12.5392,444,444,1319,1,1,1,0,1,12.8126,444,444,1319,1,1,1,0,1,11.0652,444,444,1319,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,2.3478,3600,0.002777778
5,Unknown,60,60,10,0,2,9765625,0,36.1,94,3,34.61818,31.98182,0.1013889,1,9.8837,361,361,1001,1,1,1,0,1,0.3982,361,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10.7688,361,361,1001,1,1,1,0,1,11.1654,361,361,1001,1,1,1,0,1,10.134,361,361,1001,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.3982,3600,0.002777778
6,Unknown,60,60,15,0,0,30517578125,0,52.2,106,24,37.21667,37.98333,0.2094444,1,37.7978,783,949,2645,1,1,1,0,1,2.3974,783,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,99,183,0,0,14,0,0,14,98,28,99,0,0,1,0,1,34.2218,783,949,2645,1,1,1,0,1,35.1863,783,949,2645,1,1,1,0,1,34.513,783,949,2645,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,2.3974,3600,0.004166667
7,Unknown,60,60,15,0,1,30517578125,0,42.8,71,16,35.96667,29.65,0.1641667,1,16.8139,642,642,1921,1,1,1,0,1,6.821,642,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,662,870,0,0,454,0,0,483,632,122,662,3,0,1,0,1,20.4242,642,642,1921,1,1,1,0,1,21.3471,642,642,1921,1,1,1,0,1,17.7937,642,642,1921,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,6.821,3600,0.004166667
8,Unknown,60,60,15,0,2,30517578125,0,41.6,79,6,32.48333,39.38334,0.1538889,1,17.508,624,624,1888,1,1,1,0,1,3.1959,624,2,5,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,230,412,0,0,42,0,0,54,215,106,230,2,0,1,0,1,20.2082,624,624,1888,1,1,1,0,1,19.2038,624,624,1888,1,1,1,0,1,22.941,624,624,1888,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,3.1959,3600,0.004166667
9,Unknown,60,60,20,0,0,9.54E+13,0,42.3,83,3,35.41429,40.02381,0.2158333,1,35.622,846,861,2552,1,1,1,0,1,5.2061,846,3,5,0,2,0,0,0,3,0,0,0,2,1,0,0,0,1,178,354,1,0,1,0,0,1,176,84,178,2,0,1,0,1,37.4447,846,861,2552,1,1,1,0,1,43.2734,846,861,2552,1,1,1,0,1,41.0292,846,861,2552,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,5.2061,3600,0.005555556
